OSEBuildingID,BuildingType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ComplianceStatus,ENERGYSTARScore,Outlier,SiteEnergyUse(kBtu)
1,NonResidential,DOWNTOWN,1927,1.0,12,0,88434,Hotel,88434.0,,,,,Compliant,60.0,,7226362.5
2,NonResidential,DOWNTOWN,1996,1.0,11,15064,88502,Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,Compliant,61.0,,8387933.0
3,NonResidential,DOWNTOWN,1969,1.0,41,196718,759392,Hotel,756493.0,,,,,Compliant,43.0,,72587024.0
5,NonResidential,DOWNTOWN,1926,1.0,10,0,61320,Hotel,61320.0,,,,,Compliant,56.0,,6794584.0
8,NonResidential,DOWNTOWN,1980,1.0,18,62000,113580,Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,Compliant,75.0,,14172606.0
9,Nonresidential COS,DOWNTOWN,1999,1.0,2,37198,60090,Police Station,88830.0,,,,,Compliant,,,12086616.0
10,NonResidential,DOWNTOWN,1926,1.0,11,0,83008,Hotel,81352.0,,,,,Compliant,27.0,,5758795.0
11,NonResidential,DOWNTOWN,1926,1.0,8,0,102761,Other - Entertainment/Public Assembly,102761.0,,,,,Compliant,,,6298131.5
12,NonResidential,DOWNTOWN,1904,1.0,15,0,163984,Hotel,163984.0,,,,,Compliant,43.0,,13723820.0
15,NonResidential,DOWNTOWN,1969,1.0,11,19279,133884,Hotel,133884.0,,,,,Compliant,30.0,,16016644.0
16,NonResidential,DOWNTOWN,1998,1.0,25,61161,272015,Hotel,336640.0,,,,,Compliant,36.0,,26941110.0
17,NonResidential,DOWNTOWN,1928,1.0,9,0,65009,Hotel,65009.0,,,,,Compliant,48.0,,6596057.5
18,NonResidential,DOWNTOWN,1980,1.0,33,57600,258352,Hotel,295511.0,Parking,57600.0,,,Compliant,58.0,,22325364.0
19,NonResidential,DOWNTOWN,1922,1.0,11,25200,66990,Hotel,67390.0,Parking,25200.0,,,Compliant,35.0,,10750010.0
21,Nonresidential COS,DOWNTOWN,2004,1.0,11,57000,355000,Library,364913.0,Parking,49000.0,Data Center,1074.0,Compliant,,,18588860.0
22,NonResidential,DOWNTOWN,1930,1.0,6,0,103911,Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,Compliant,,,9956396.0
23,NonResidential,DOWNTOWN,1983,1.0,28,85000,331281,Hotel,348329.0,Parking,85000.0,,,Compliant,31.0,,33556756.0
24,NonResidential,DOWNTOWN,1907,1.0,5,0,57452,Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,Compliant,,,7606084.5
25,NonResidential,DOWNTOWN,1916,1.0,10,0,104352,Hotel,104352.0,,,,,Compliant,39.0,,10154608.0
26,NonResidential,DOWNTOWN,1916,1.0,10,0,540360,Courthouse,537150.0,,,,,Compliant,76.0,,44984468.0
27,NonResidential,DOWNTOWN,1985,1.0,19,0,385274,Other,385274.0,,,,,Compliant,,,47859812.0
28,SPS-District K-12,SOUTHEAST,1961,1.0,2,0,56228,K-12 School,58916.0,,,,,Error - Correct Default Data,95.0,,1539478.5
29,NonResidential,NORTHEAST,2001,1.0,6,30586,58006,Hotel,58006.0,Parking,30586.0,,,Compliant,84.0,,3663534.5
30,NonResidential,DOWNTOWN,1928,1.0,7,0,126593,College/University,125000.0,,,,,Compliant,,,11343686.0
31,NonResidential,DOWNTOWN,1930,1.0,2,0,67224,Automobile Dealership,67224.0,,,,,Compliant,,,1310236.625
32,NonResidential,EAST,1991,1.0,8,30301,128375,Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,Compliant,,,5328051.5
33,NonResidential,DOWNTOWN,2001,1.0,10,38281,133585,Hotel,128909.0,,,,,Compliant,57.0,,11061916.0
34,SPS-District K-12,Central,1955,1.0,1,0,126351,K-12 School,126351.0,,,,,Missing Data,,,0.0
